2024-12-19 17:54:43,350 - INFO - Layer: conv1, Avg Avg GFlops: 0.1180,Avg Avg latency: 3211264.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.0.conv1, Avg Avg GFlops: 0.0128,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.0.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.0.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 802816.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.0.downsample.0, Avg Avg GFlops: 0.0514,Avg Avg latency: 802816.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.1.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.1.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.1.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 802816.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.2.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.2.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 200704.0
2024-12-19 17:54:43,350 - INFO - Layer: layer1.2.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 802816.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.0.conv1, Avg Avg GFlops: 0.1028,Avg Avg latency: 401408.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.0.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 401408.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.0.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 401408.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.0.downsample.0, Avg Avg GFlops: 0.1028,Avg Avg latency: 1605632.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.1.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.1.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 100352.0
2024-12-19 17:54:43,350 - INFO - Layer: layer2.1.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 401408.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.2.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.2.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.2.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 401408.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.3.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.3.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer2.3.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 401408.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.0.conv1, Avg Avg GFlops: 0.1028,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.0.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.0.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.0.downsample.0, Avg Avg GFlops: 0.1028,Avg Avg latency: 802816.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.1.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.1.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.1.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.2.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.2.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.2.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.3.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.3.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.3.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.4.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.4.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.4.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.5.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.5.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 50176.0
2024-12-19 17:54:43,351 - INFO - Layer: layer3.5.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 200704.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.0.conv1, Avg Avg GFlops: 0.1028,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.0.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.0.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.0.downsample.0, Avg Avg GFlops: 0.1028,Avg Avg latency: 401408.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.1.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 25088.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.1.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 25088.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.1.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.2.conv1, Avg Avg GFlops: 0.0514,Avg Avg latency: 25088.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.2.conv2, Avg Avg GFlops: 0.1156,Avg Avg latency: 25088.0
2024-12-19 17:54:43,351 - INFO - Layer: layer4.2.conv3, Avg Avg GFlops: 0.0514,Avg Avg latency: 100352.0
2024-12-19 17:54:43,351 - INFO - Layer: fc, Avg Avg GFlops: 0.0020,Avg Avg latency: 2048.0
